family,scale,mode,label,dataset,metric,mean,std,n,ci_low,ci_high,ci_half_width
yolo26,l,nms,YOLO26-L (NMS),MOT17,IDF1,44.18353333333334,12.808924538699383,15,37.09018735650433,51.27687931016234,7.093345976829009
yolo26,l,nms,YOLO26-L (NMS),MOT20,IDF1,12.527233333333333,12.361859472452622,15,5.6814637380702555,19.37300292859641,6.845769595263078
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,IDF1,36.25106666666667,8.034162481612654,15,31.801895782416587,40.700237550916746,4.44917088425008
yolo26,m,end2end,YOLO26-M (E2E),MOT17,IDF1,43.436400000000006,12.934448134453095,15,36.27354137281174,50.59925862718827,7.162858627188266
yolo26,m,end2end,YOLO26-M (E2E),MOT20,IDF1,9.901793333333332,12.651953261366781,15,2.8953751524469773,16.908211514219687,7.006418180886355
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,IDF1,32.296866666666666,6.034769256645392,15,28.95492284473331,35.63881048860002,3.341943821933357
yolo26,m,nms,YOLO26-M (NMS),MOT17,IDF1,43.9126,12.23276194604356,15,37.138322231923944,50.68687776807605,6.774277768076057
yolo26,m,nms,YOLO26-M (NMS),MOT20,IDF1,10.970310000000003,12.838777236178464,15,3.8604321503411594,18.08018784965885,7.109877849658844
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,IDF1,34.011266666666664,6.706157644462359,15,30.297520348339276,37.72501298499405,3.713746318327389
yolo26,n,end2end,YOLO26-N (E2E),MOT17,IDF1,37.28966666666667,16.220162583590067,15,28.30724002669337,46.27209330663997,8.9824266399733
yolo26,n,end2end,YOLO26-N (E2E),MOT20,IDF1,9.89146,9.918720139269121,15,4.398655870925046,15.384264129074955,5.492804129074955
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,IDF1,29.29386666666667,7.883102506235062,15,24.928350008449943,33.65938332488339,4.365516658216726
yolo26,n,nms,YOLO26-N (NMS),MOT17,IDF1,37.53286666666667,15.523802865584315,15,28.936071184814274,46.12966214851907,8.596795481852396
yolo26,n,nms,YOLO26-N (NMS),MOT20,IDF1,10.648439999999999,10.316370619194107,15,4.935424375148176,16.36145562485182,5.713015624851823
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,IDF1,30.5884,8.410856740801481,15,25.930622788197695,35.246177211802305,4.657777211802306
yolo26,s,end2end,YOLO26-S (E2E),MOT17,IDF1,42.354200000000006,12.173576345042218,15,35.612698125284915,49.0957018747151,6.74150187471509
yolo26,s,end2end,YOLO26-S (E2E),MOT20,IDF1,10.386569333333336,12.567935885912478,15,3.426678424144299,17.346460242522372,6.959890909189037
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,IDF1,33.7234,7.875350929142324,15,29.362176022095248,38.08462397790475,4.361223977904751
yolo26,s,nms,YOLO26-S (NMS),MOT17,IDF1,42.495599999999996,12.095838616175874,15,35.79714784461426,49.194052155385734,6.698452155385734
yolo26,s,nms,YOLO26-S (NMS),MOT20,IDF1,10.594653333333335,12.853367632718266,15,3.4766955913866378,17.712611075280034,7.1179577419466975
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,IDF1,35.21726666666667,9.362741261180378,15,30.032353377777202,40.402179955556136,5.184913288889466
yolo26,x,end2end,YOLO26-X (E2E),MOT17,IDF1,43.23619999999999,12.63206716597542,15,36.24079437167517,50.23160562832481,6.99540562832482
yolo26,x,end2end,YOLO26-X (E2E),MOT20,IDF1,11.189086666666666,11.573727865167402,15,4.779769807841994,17.59840352549134,6.409316858824672
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,IDF1,32.281600000000005,5.196390571485997,15,29.403934818749345,35.15926518125067,2.8776651812506606
yolo26,x,nms,YOLO26-X (NMS),MOT17,IDF1,45.370533333333334,13.218953097010079,15,38.05012110939741,52.69094555726926,7.320412223935926
yolo26,x,nms,YOLO26-X (NMS),MOT20,IDF1,13.302366666666666,12.07162352169433,15,6.617324383632061,19.98740894970127,6.685042283034605
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,IDF1,34.86913333333334,5.279400491758601,15,31.94549879046894,37.792767876197736,2.9236345428643995
rtdetr,l,nms,RT-DETR-L,MOT17,MOTA,36.154266666666665,10.950111176648042,15,30.090297218955822,42.218236114377504,6.063969447710842
