family,scale,mode,label,dataset,metric,n_sequences,mean,std_between_seq,t_ci_low,t_ci_high,boot_ci_low,boot_ci_high
yolo11,m,nms,YOLO11-M,MOT17,IDF1,3,42.8784,16.214085551766402,2.6003786193109235,83.15642138068907,32.037,61.5182
yolo11,m,nms,YOLO11-M,MOT20,IDF1,3,10.135760666666666,14.702712898230764,-26.387802908866373,46.6593242421997,0.837862,27.086399999999998
yolo11,m,nms,YOLO11-M,SOMPT22,IDF1,3,34.269666666666666,7.815391205392941,14.85515864126819,53.68417469206514,28.014400000000006,43.0306
yolo11,n,nms,YOLO11-N,MOT17,IDF1,3,39.29659999999999,18.459658558055725,-6.55973397010095,85.15293397010093,26.391000000000002,60.440999999999995
yolo11,n,nms,YOLO11-N,MOT20,IDF1,3,12.359917999999999,13.14546247960002,-20.295221083973416,45.01505708397342,0.38535400000000003,26.425599999999992
yolo11,n,nms,YOLO11-N,SOMPT22,IDF1,3,31.36153333333333,8.076249452148769,11.299017499747631,51.42404916691903,24.7954,40.379599999999996
yolo11,s,nms,YOLO11-S,MOT17,IDF1,3,42.34773333333334,15.33835671033026,4.245142992923206,80.45032367374347,30.332600000000003,59.6244
yolo11,s,nms,YOLO11-S,MOT20,IDF1,3,12.110333333333331,15.075235978973373,-25.33862887556983,49.55929554223649,2.25642,29.4646
yolo11,s,nms,YOLO11-S,SOMPT22,IDF1,3,34.85493333333333,9.3534602802029,11.619649915922498,58.09021675074416,28.933000000000003,45.638
yolo11,x,nms,YOLO11-X,MOT17,IDF1,3,42.21366666666667,18.9245312843762,-4.797475174051158,89.2248085073845,30.892000000000007,64.061
yolo11,x,nms,YOLO11-X,MOT20,IDF1,3,8.982036666666668,12.994004032669581,-23.29685877752371,41.26093211085704,0.53581,23.9448
yolo11,x,nms,YOLO11-X,SOMPT22,IDF1,3,34.36506666666667,8.266862646332848,13.829041409051111,54.90109192428223,28.019799999999993,43.7138
yolo26,l,end2end,YOLO26-L (E2E),MOT17,IDF1,3,43.929,18.728138080439287,-2.5942740764866628,90.45227407648667,32.4886,65.542
yolo26,l,end2end,YOLO26-L (E2E),MOT20,IDF1,3,9.004146,13.02145993166158,-23.342953678286406,41.3512456782864,0.630078,24.006199999999996
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,IDF1,3,33.234,8.913264479414934,11.092223571880687,55.375776428119316,26.9044,43.4272
