family,scale,mode,label,dataset,metric,n_sequences,mean,std_between_seq,t_ci_low,t_ci_high,boot_ci_low,boot_ci_high
yolo26,s,end2end,YOLO26-S (E2E),MOT17,HOTA,3,35.8442,6.927123397197425,18.636271535073817,53.052128464926184,29.4486,43.2022
yolo26,s,end2end,YOLO26-S (E2E),MOT20,HOTA,3,9.236766666666666,11.22104743699684,-18.63786043691657,37.1113937702499,1.1826,22.0536
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,HOTA,3,29.945066666666666,6.446478909709808,13.931125299053381,45.95900803427995,24.5654,37.0904
yolo26,s,nms,YOLO26-S (NMS),MOT17,HOTA,3,35.98433333333333,6.926212068175024,18.778668735199506,53.18999793146716,29.823400000000003,43.4812
yolo26,s,nms,YOLO26-S (NMS),MOT20,HOTA,3,9.318606666666666,11.411906197306974,-19.030139881020894,37.66735321435422,1.0779200000000002,22.344000000000005
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,HOTA,3,31.2556,7.961669867559192,11.477715633489957,51.033484366510045,24.526799999999998,40.045
yolo26,x,end2end,YOLO26-X (E2E),MOT17,HOTA,3,36.17633333333333,7.572799139904169,17.364457406386922,54.988209260279746,31.747200000000003,44.9204
yolo26,x,end2end,YOLO26-X (E2E),MOT20,HOTA,3,10.360726666666666,10.291380176484267,-15.20447893569767,35.925932269031,2.85526,22.0924
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,HOTA,3,28.995199999999997,4.163375616011602,18.652801624083814,39.33759837591618,24.935,33.254599999999996
yolo26,x,nms,YOLO26-X (NMS),MOT17,HOTA,3,37.837666666666664,7.8924221487027255,18.23180317002065,57.44353016331267,32.3202,46.87800000000001
yolo26,x,nms,YOLO26-X (NMS),MOT20,HOTA,3,11.86052,10.408752304152499,-13.996254131013364,37.71729413101336,3.91986,23.6444
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,HOTA,3,30.88613333333333,4.14662661127492,20.585341791717823,41.186924874948836,27.196199999999994,35.373599999999996
rtdetr,l,nms,RT-DETR-L,MOT17,IDF1,3,47.14846666666667,13.421467564068147,13.807692943731148,80.4892403896022,33.8258,60.666599999999995
rtdetr,l,nms,RT-DETR-L,MOT20,IDF1,3,20.323266666666665,14.985729711072908,-16.903349646706918,57.54988298004025,7.2784,36.6918
rtdetr,l,nms,RT-DETR-L,SOMPT22,IDF1,3,39.163666666666664,8.976987490986792,16.8635935023954,61.463739830937925,33.47539999999999,49.51239999999999
rtdetr,x,nms,RT-DETR-X,MOT17,IDF1,3,48.71113333333333,14.27689172941132,13.245368181726285,84.17689848494038,33.797399999999996,62.25199999999999
rtdetr,x,nms,RT-DETR-X,MOT20,IDF1,3,21.963113333333336,15.503993344249517,-16.550941215843007,60.477167882509676,7.576339999999999,38.3836
rtdetr,x,nms,RT-DETR-X,SOMPT22,IDF1,3,38.876666666666665,7.288414352472922,20.771241714826314,56.98209161850701,33.714200000000005,47.214
yolo11,l,nms,YOLO11-L,MOT17,IDF1,3,42.8812,16.290039945930147,2.4144974443956144,83.34790255560438,31.227999999999998,61.49519999999999
yolo11,l,nms,YOLO11-L,MOT20,IDF1,3,11.13659866666667,13.759275397107416,-23.043336233646357,45.3165335669797,0.9711359999999999,26.79360000000001
