family,scale,mode,label,dataset,metric,mean,std,n,ci_low,ci_high,ci_half_width
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,HOTA,29.877933333333328,5.681354824167844,15,26.73170390062866,33.024162766037996,3.146229432704668
yolo26,s,nms,YOLO26-S (NMS),MOT17,HOTA,37.01193333333333,7.317129164469069,15,32.959842264804394,41.06402440186227,4.052091068528934
yolo26,s,nms,YOLO26-S (NMS),MOT20,HOTA,8.118,9.112170662016503,15,3.071848083786338,13.164151916213662,5.046151916213662
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,HOTA,31.1646,6.759423906137057,15,27.421355809169,34.907844190831,3.7432441908310006
yolo26,x,end2end,YOLO26-X (E2E),MOT17,HOTA,37.156,8.131981861760393,15,32.652658548616785,41.65934145138321,4.503341451383215
yolo26,x,end2end,YOLO26-X (E2E),MOT20,HOTA,8.447093333333335,8.331195343789567,15,3.8334311327714987,13.060755533895172,4.613662200561836
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,HOTA,28.30566666666667,4.2877899846402165,15,25.93116771906621,30.680165614267132,2.3744989476004608
yolo26,x,nms,YOLO26-X (NMS),MOT17,HOTA,37.9008,6.688419621149037,15,34.196876671567374,41.60472332843262,3.7039233284326234
yolo26,x,nms,YOLO26-X (NMS),MOT20,HOTA,9.631013333333332,8.662898903111119,15,4.833659824347853,14.42836684231881,4.797353508985479
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,HOTA,29.369133333333334,4.350273338976474,15,26.960032257446397,31.77823440922027,2.409101075886937
rtdetr,l,nms,RT-DETR-L,MOT17,IDF1,46.862733333333345,11.492940680924011,15,40.49815492593766,53.22731174072903,6.3645784073956815
rtdetr,l,nms,RT-DETR-L,MOT20,IDF1,12.173200000000003,13.75746555692581,15,4.554569515860054,19.79183048413995,7.618630484139949
rtdetr,l,nms,RT-DETR-L,SOMPT22,IDF1,36.40173333333334,7.32380244200537,15,32.345946726883064,40.457519939783616,4.055786606450278
rtdetr,x,nms,RT-DETR-X,MOT17,IDF1,46.47653333333332,12.871209505085742,15,39.34869509180256,53.60437157486408,7.127838241530763
rtdetr,x,nms,RT-DETR-X,MOT20,IDF1,14.07009333333334,14.379277343627264,15,6.107114959390655,22.033071707276022,7.9629783739426845
rtdetr,x,nms,RT-DETR-X,SOMPT22,IDF1,36.427533333333336,6.431314571983671,15,32.865990035371624,39.98907663129505,3.5615432979617156
yolo11,l,nms,YOLO11-L,MOT17,IDF1,43.869533333333344,15.492146530542806,15,35.29026854550053,52.448798121166156,8.579264787832814
yolo11,l,nms,YOLO11-L,MOT20,IDF1,8.682723333333335,10.429532827526474,15,2.907040566304329,14.458406100362343,5.775682767029006
yolo11,l,nms,YOLO11-L,SOMPT22,IDF1,33.58506666666667,6.867044232800463,15,29.782224325432296,37.387909007901044,3.802842341234376
yolo11,m,nms,YOLO11-M,MOT17,IDF1,42.878399999999985,13.703403924364403,15,35.2897078500794,50.46709214992057,7.58869214992058
yolo11,m,nms,YOLO11-M,MOT20,IDF1,10.13576066666667,12.426060776741107,15,3.25443757414424,17.0170837591891,6.88132309252243
yolo11,m,nms,YOLO11-M,SOMPT22,IDF1,34.269666666666666,6.6052124294450385,15,30.611821945125165,37.92751138820817,3.6578447215414998
yolo11,n,nms,YOLO11-N,MOT17,IDF1,39.2966,15.601263679586983,15,30.656908149158333,47.93629185084166,8.639691850841663
yolo11,n,nms,YOLO11-N,MOT20,IDF1,12.359918,11.109957116083624,15,6.207428821535637,18.512407178464365,6.152489178464363
yolo11,n,nms,YOLO11-N,SOMPT22,IDF1,31.361533333333337,6.825683104136555,15,27.581596021691322,35.14147064497535,3.7799373116420143
yolo11,s,nms,YOLO11-S,MOT17,IDF1,42.34773333333333,12.963280038338327,15,35.16890812996525,49.52655853670141,7.178825203368079
yolo11,s,nms,YOLO11-S,MOT20,IDF1,12.110333333333333,12.740902615909723,15,5.0546566417669885,19.166010024899677,7.055676691566345
yolo11,s,nms,YOLO11-S,SOMPT22,IDF1,34.85493333333333,7.905116828147871,15,30.47722554999122,39.23264111667544,4.377707783342107
yolo11,x,nms,YOLO11-X,MOT17,IDF1,42.213666666666676,15.99421958827924,15,33.356363086942395,51.07097024639096,8.857303579724285
yolo11,x,nms,YOLO11-X,MOT20,IDF1,8.982036666666666,10.98193818051887,15,2.9004420116888445,15.063631321644486,6.081594654977821
