family,scale,mode,label,dataset,Recall,Precision,DetA,AssA,IDF1,IDR,IDP,MOTA,MT,ML,IDSW,Frag
yolo11,n,nms,YOLO11-N,MOT17,31.670599999999997,93.05533333333337,25.24593333333333,49.85193333333334,39.2966,27.876733333333338,81.7848,28.5836,10.333333333333334,47.666666666666664,22.666666666666668,66.06666666666666
yolo11,n,nms,YOLO11-N,MOT20,7.954701999999999,87.29693333333333,6.425443333333334,21.533200000000004,12.359918,7.115059333333336,82.05093333333335,7.474093333333332,5.0,658.2,34.53333333333333,135.13333333333333
yolo11,n,nms,YOLO11-N,SOMPT22,24.892666666666667,98.2334666666667,20.766866666666665,38.72266666666666,31.361533333333337,20.006066666666666,81.93800000000002,24.302399999999995,16.333333333333332,51.333333333333336,47.86666666666667,115.26666666666667
yolo11,s,nms,YOLO11-S,MOT17,35.257533333333335,91.0422,28.1602,50.20446666666667,42.34773333333333,30.688800000000004,80.36519999999999,31.106199999999998,15.666666666666666,42.333333333333336,22.333333333333332,70.13333333333334
yolo11,s,nms,YOLO11-S,MOT20,8.382206666666667,88.20266666666666,6.8470466666666665,19.73346666666667,12.110333333333333,7.187713333333334,78.03166666666667,7.756886666666666,5.666666666666667,658.3333333333334,44.666666666666664,150.2
yolo11,s,nms,YOLO11-S,SOMPT22,28.912866666666666,97.79413333333333,24.125733333333333,40.57906666666666,34.85493333333333,23.038266666666672,80.22773333333333,28.14213333333333,19.333333333333332,48.333333333333336,54.0,137.33333333333334
yolo11,x,nms,YOLO11-X,MOT17,35.65453333333334,90.46566666666668,28.056733333333334,51.38986666666667,42.213666666666676,31.35853333333333,80.54933333333332,31.007533333333335,17.0,44.0,27.0,75.0
yolo11,x,nms,YOLO11-X,MOT20,5.772133333333333,77.03146666666665,4.883257333333333,21.513533333333335,8.982036666666666,5.1620166666666645,72.98633333333332,5.27216,4.0,677.0,11.333333333333334,38.86666666666667
yolo11,x,nms,YOLO11-X,SOMPT22,27.523733333333332,97.73646666666669,23.1234,40.42473333333334,34.365066666666664,22.377599999999997,81.21926666666667,26.74813333333333,17.666666666666668,50.666666666666664,39.06666666666667,105.26666666666667
yolo26,l,end2end,YOLO26-L (E2E),MOT17,35.717733333333335,89.40886666666667,28.290666666666667,53.32340000000001,43.928999999999995,32.517999999999994,82.53540000000001,30.914399999999993,14.333333333333334,42.666666666666664,23.533333333333335,115.13333333333334
yolo26,l,end2end,YOLO26-L (E2E),MOT20,5.616811333333333,86.87499999999999,4.745609333333333,19.026066666666665,9.004146,5.154388,80.79400000000001,5.203847999999999,3.3333333333333335,678.1333333333333,18.333333333333332,141.73333333333332
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,27.151600000000006,97.26086666666666,22.726733333333332,39.735466666666674,33.234,21.646266666666666,78.53106666666666,26.17526666666667,21.333333333333332,51.0,51.6,239.26666666666668
yolo26,l,nms,YOLO26-L (NMS),MOT17,36.166999999999994,89.48853333333336,28.536533333333328,54.675533333333334,44.55153333333333,33.08553333333334,83.5754,31.12366666666667,15.666666666666666,42.0,20.666666666666668,71.66666666666667
yolo26,l,nms,YOLO26-L (NMS),MOT20,6.235488000000001,89.82293333333334,5.236819333333332,21.086733333333335,9.821115333333333,5.672284666666667,85.59719999999999,5.814600666666668,4.333333333333333,673.0,12.666666666666666,45.733333333333334
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,28.450533333333336,97.35566666666666,23.764933333333335,44.068133333333336,36.05073333333333,23.7772,82.5602,27.466533333333338,23.0,49.0,41.666666666666664,112.33333333333333
yolo26,m,end2end,YOLO26-M (E2E),MOT17,35.9386,90.94080000000001,28.324066666666667,54.85753333333332,44.9022,33.056733333333334,85.34113333333333,31.530466666666666,14.666666666666666,42.333333333333336,24.0,94.0
yolo26,m,end2end,YOLO26-M (E2E),MOT20,5.239734666666667,61.81933333333334,4.425687999999999,15.08746666666667,8.09694,4.637861333333333,57.754333333333335,4.994334666666665,3.3333333333333335,680.3333333333334,12.8,54.8
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,25.506333333333334,97.62380000000002,21.52106666666667,40.495666666666665,32.33,20.706933333333335,82.08660000000002,24.7378,18.666666666666668,51.666666666666664,40.666666666666664,150.26666666666668
yolo26,m,nms,YOLO26-M (NMS),MOT17,36.08533333333333,89.78900000000002,28.3372,54.51206666666668,44.502533333333325,32.89906666666666,83.54279999999999,30.977533333333326,15.666666666666666,42.666666666666664,25.666666666666668,73.33333333333333
yolo26,m,nms,YOLO26-M (NMS),MOT20,5.642733333333335,58.15840000000001,4.756249366666667,16.358649999999997,8.584066666666667,4.953166666666665,53.79286666666667,5.291016000000001,4.0,677.3333333333334,16.333333333333332,42.13333333333333
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,26.689133333333334,97.5642,22.439466666666668,41.49846666666667,33.58913333333333,21.804000000000006,81.90273333333333,25.872999999999998,19.333333333333332,50.46666666666667,40.93333333333333,104.26666666666667
yolo26,n,end2end,YOLO26-N (E2E),MOT17,30.10353333333334,92.21620000000001,24.09293333333333,48.05273333333333,36.571400000000004,25.760800000000007,80.12333333333335,26.92086666666667,9.4,49.06666666666667,27.6,90.93333333333334
yolo26,n,end2end,YOLO26-N (E2E),MOT20,5.373289333333333,85.33593333333333,4.4198986666666675,17.01818,8.387370666666667,4.727807333333334,76.7386,5.047264666666667,3.3333333333333335,678.6666666666666,26.266666666666666,136.8
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,23.25926666666667,98.14026666666669,19.225666666666665,36.798199999999994,28.991799999999998,18.2676,80.48386666666667,22.69513333333333,14.333333333333334,53.0,52.733333333333334,168.53333333333333
yolo26,n,nms,YOLO26-N (NMS),MOT17,29.6866,92.22600000000003,23.739266666666666,50.72953333333333,37.107533333333336,26.228399999999997,80.9104,26.544533333333334,10.333333333333334,51.86666666666667,21.333333333333332,57.93333333333333
yolo26,n,nms,YOLO26-N (NMS),MOT20,4.808419999999999,80.06106666666666,3.9718773333333326,18.91866666666666,7.618903333333336,4.256870000000001,75.24453333333332,4.453321333333336,3.6666666666666665,682.6666666666666,17.0,60.93333333333333
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,23.010200000000005,98.32226666666665,19.081933333333332,36.995533333333334,29.37513333333333,18.535666666666668,82.42986666666667,22.480866666666664,14.0,55.333333333333336,44.666666666666664,93.93333333333334
yolo26,s,end2end,YOLO26-S (E2E),MOT17,34.95673333333333,90.70719999999999,27.890533333333334,50.556266666666666,42.697333333333326,31.025533333333335,81.17679999999999,30.767799999999998,14.0,44.333333333333336,29.866666666666667,87.33333333333333
yolo26,s,end2end,YOLO26-S (E2E),MOT20,5.633941333333332,92.538,4.723782733333335,20.688666666666666,8.563317066666666,4.945514666666666,88.1334,5.314589333333332,3.6666666666666665,678.6,17.733333333333334,70.8
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,28.151666666666664,97.5012,23.536666666666665,39.72806666666667,34.019733333333335,22.435133333333336,79.2756,27.294999999999998,19.466666666666665,50.333333333333336,47.6,193.66666666666666
yolo26,s,nms,YOLO26-S (NMS),MOT17,35.1666,89.42213333333333,27.85533333333333,51.61900000000001,43.14006666666667,31.597733333333327,80.60513333333333,30.40786666666667,14.666666666666666,44.333333333333336,27.2,76.13333333333334
yolo26,s,nms,YOLO26-S (NMS),MOT20,5.616173,90.59926666666667,4.705581666666668,22.009800000000002,8.629918666666663,4.990436333333334,86.62386666666667,5.258572333333333,3.3333333333333335,679.0,18.0,49.4
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,29.137133333333335,97.56333333333333,24.2838,42.24166666666667,35.40186666666668,23.686333333333334,80.76413333333333,28.262400000000003,20.333333333333332,49.666666666666664,45.53333333333333,122.4
yolo26,x,end2end,YOLO26-X (E2E),MOT17,36.811733333333336,90.15253333333334,28.791066666666666,51.18953333333334,43.522333333333336,32.620533333333334,81.27013333333335,31.7964,15.666666666666666,40.666666666666664,28.8,136.53333333333333
yolo26,x,end2end,YOLO26-X (E2E),MOT20,5.208046,78.79033333333334,4.435205333333332,21.1234,8.356943999999999,4.739363333333334,75.04673333333334,4.839685933333333,3.3333333333333335,679.6666666666666,13.266666666666667,127.33333333333333
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,24.274066666666666,97.46453333333334,20.485666666666667,40.3372,31.592799999999997,19.979266666666668,81.68793333333332,23.490866666666662,15.133333333333333,54.0,41.333333333333336,187.2
yolo26,x,nms,YOLO26-X (NMS),MOT17,37.696400000000004,89.92226666666664,29.416466666666665,52.68586666666667,44.13986666666667,33.062866666666665,81.62993333333335,32.422066666666666,16.666666666666668,40.333333333333336,25.333333333333332,73.53333333333333
yolo26,x,nms,YOLO26-X (NMS),MOT20,6.003506,82.346,5.073011333333333,23.586999999999996,9.47933933333333,5.42644,77.761,5.606734,3.6666666666666665,671.6666666666666,12.0,38.266666666666666
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,25.826266666666676,97.54439999999998,21.749266666666664,41.19159999999999,33.16393333333334,21.293533333333336,81.77706666666667,25.009466666666665,19.0,51.0,34.666666666666664,93.26666666666667
