dataset,sequence,family,scale,mode,tracker,density,HOTA,IDF1,MOTA,IDSW,Frag,FPS_mean,FPS_std,Lat_mean,Lat_std,Runs
MOT17,MOT17-04,yolo26,x,end2end,bytetrack,45.3,31.7472,32.455200000000005,19.2412,15.0,248.8,66.85573604672278,1.9032771128340216,14.957579695198334,0.44130684202462933,5
MOT17,MOT17-04,yolo26,x,nms,botsort,45.3,33.398199999999996,33.2602,18.7714,1.0,45.0,26.00723694192524,0.8602984470056338,38.4508359051376,1.2530306423905848,5
MOT17,MOT17-04,yolo26,x,nms,bytetrack,45.3,34.3148,35.7748,21.7752,10.0,47.0,66.83150515228704,0.46418971172193413,14.963002819124432,0.1042917589168998,5
MOT17,MOT17-05,rtdetr,l,nms,botsort,8.3,46.559,62.427,54.34400000000001,77.0,130.0,29.7476905382713,0.3571398147928224,33.616054957727556,0.40500165118831405,5
MOT17,MOT17-05,rtdetr,l,nms,bytetrack,8.3,45.0866,60.666599999999995,50.1982,111.2,161.2,54.99162523596059,0.2841667053772712,18.184587120477964,0.09390747892383394,5
MOT17,MOT17-05,rtdetr,x,nms,botsort,8.3,46.796,62.60699999999999,54.59000000000001,69.0,127.0,26.880749313381916,0.33371527652508415,37.20134391871936,0.4599478272600688,5
MOT17,MOT17-05,rtdetr,x,nms,bytetrack,8.3,45.965399999999995,62.251999999999995,51.03959999999999,110.0,155.0,44.2980468634239,0.24062350857032622,22.574358708931747,0.12205336583833158,5
MOT17,MOT17-05,yolo11,l,nms,botsort,8.3,47.955799999999996,64.8548,52.2512,54.6,103.4,38.08434676522224,0.5006063099674994,26.257506953307576,0.34764616561128464,5
MOT17,MOT17-05,yolo11,l,nms,bytetrack,8.3,45.17100000000001,61.4952,51.0886,84.2,111.0,95.87752419095942,1.3520262905596945,10.42997311870818,0.14679292844345468,5
MOT17,MOT17-05,yolo11,m,nms,botsort,8.3,45.794799999999995,61.5182,52.45880000000001,51.0,96.0,42.56219521244295,0.13227017411597208,23.495028745783593,0.07317976864079517,5
MOT17,MOT17-05,yolo11,m,nms,bytetrack,8.3,44.749,60.26899999999999,50.617,94.0,115.0,126.25505634254351,1.7285025118194421,7.920474862304863,0.10856480674970587,5
MOT17,MOT17-05,yolo11,n,nms,botsort,8.3,44.8282,60.440999999999995,48.5586,44.0,81.2,44.890558267082376,0.8776358246688286,22.276399283126896,0.43577449272571406,5
MOT17,MOT17-05,yolo11,n,nms,bytetrack,8.3,43.4384,58.5826,48.385,81.0,100.8,144.19061838880717,7.645580444231443,6.93526396636652,0.3850568200612604,5
MOT17,MOT17-05,yolo11,s,nms,botsort,8.3,44.802200000000006,59.6244,50.1838,44.0,85.0,44.47016339386772,0.570334514320235,22.486987311989424,0.29103986380197655,5
MOT17,MOT17-05,yolo11,s,nms,bytetrack,8.3,43.640600000000006,59.673399999999994,49.7442,78.0,106.0,148.46740714227917,1.7994310218779408,6.735485041788874,0.08231002217485628,5
MOT17,MOT17-05,yolo11,x,nms,botsort,8.3,47.3028,64.061,53.88199999999999,57.0,110.0,38.47127200141584,3.00618371894533,25.99342179180344,2.00495104961026,5
MOT17,MOT17-05,yolo11,x,nms,bytetrack,8.3,45.986,61.799,51.48199999999999,93.0,122.0,85.07658889361731,3.289451496985608,11.754114886416454,0.4631346981875045,5
MOT17,MOT17-05,yolo26,l,end2end,botsort,8.3,47.9396,65.542,53.5028,51.2,112.0,37.95337169478031,0.3458804596946702,26.34812021556254,0.24035109501268037,5
MOT17,MOT17-05,yolo26,l,end2end,bytetrack,8.3,45.2294,62.0828,51.6062,90.2,126.8,99.54647908965781,1.477143212315874,10.04555870930741,0.1494480508798018,5
MOT17,MOT17-05,yolo26,l,nms,botsort,8.3,47.74720000000001,65.207,53.173,47.0,103.0,37.92382968671259,0.3713918642948694,26.368644945960483,0.2588132237212566,5
MOT17,MOT17-05,yolo26,l,nms,bytetrack,8.3,45.3382,61.66799999999999,51.251,82.0,123.0,97.35506163719393,1.399307286797728,10.271679594088571,0.14839841185913616,5
MOT17,MOT17-05,yolo26,m,end2end,botsort,8.3,48.2366,65.3716,53.196400000000004,54.0,120.0,42.438922208746696,0.4970436308625044,23.563275124689646,0.2769389918462325,5
MOT17,MOT17-05,yolo26,m,end2end,bytetrack,8.3,44.563599999999994,61.076800000000006,51.053999999999995,88.0,132.8,107.85367722026628,20.515058659683575,9.271821098484482,2.125844440316003,5
MOT17,MOT17-05,yolo26,m,nms,botsort,8.3,47.538,63.97579999999999,51.3922,57.0,110.0,42.501439281142254,0.3897932586176307,23.528614957839714,0.21571070292762906,5
MOT17,MOT17-05,yolo26,m,nms,bytetrack,8.3,44.7808,60.625,50.557,85.0,129.0,121.98765691518156,7.385438919691707,8.19755068084719,0.5327914357900839,5
MOT17,MOT17-05,yolo26,n,end2end,botsort,8.3,42.544799999999995,57.08639999999999,47.9716,50.8,106.8,44.42613141851038,0.39779306314121693,22.5092747909926,0.20248011913725267,5
MOT17,MOT17-05,yolo26,n,end2end,bytetrack,8.3,43.8976,59.444,47.5638,74.8,117.0,142.61329189673853,4.140653376601259,7.0119691278430505,0.205939001292423,5
MOT17,MOT17-05,yolo26,n,nms,botsort,8.3,44.4576,60.260400000000004,47.416399999999996,42.0,79.0,43.376058844487005,1.5770541098460944,23.054192258112394,0.8563331242037797,5
MOT17,MOT17-05,yolo26,n,nms,bytetrack,8.3,42.8316,58.7162,47.69420000000001,87.0,104.0,129.82098890099277,24.70257619855714,7.702914670929246,1.8124836777819948,5
MOT17,MOT17-05,yolo26,s,end2end,botsort,8.3,45.995,62.2118,51.2448,55.0,117.8,43.622267875731,0.7845281944118894,22.924071780237366,0.40879270445938987,5
MOT17,MOT17-05,yolo26,s,end2end,bytetrack,8.3,43.202200000000005,58.668600000000005,49.209199999999996,82.0,125.2,138.88974761117043,4.727234748429004,7.199955484112158,0.24936292747571176,5
MOT17,MOT17-05,yolo26,s,nms,botsort,8.3,46.60379999999999,63.31699999999999,50.528,50.0,104.0,43.400537722737226,0.8834910628012473,23.041189175776207,0.47232977133793375,5
MOT17,MOT17-05,yolo26,s,nms,bytetrack,8.3,43.481199999999994,58.819,49.255,75.0,112.0,135.79681718397902,1.8773952581458762,7.3639428429695,0.10253235297059084,5
MOT17,MOT17-05,yolo26,x,end2end,botsort,8.3,48.2434,64.7734,54.332800000000006,57.4,124.0,37.09463932089,0.3063142315612327,26.958073142305654,0.22432795523331958,5
MOT17,MOT17-05,yolo26,x,end2end,bytetrack,8.3,44.92040000000001,60.29820000000001,51.4326,101.0,154.0,89.80354730515369,0.9426944035036589,11.135417586590275,0.11640296605866031,5
MOT17,MOT17-05,yolo26,x,nms,botsort,8.3,47.0386,62.451,54.42280000000001,52.0,110.6,36.972184855955184,0.35542596267760374,27.04736016808398,0.2613244389628966,5
MOT17,MOT17-05,yolo26,x,nms,bytetrack,8.3,46.878,63.419,51.8,94.0,139.0,87.97513441412696,1.9486246555764626,11.366848219778577,0.2527637513766699,5
MOT20,MOT20-02,rtdetr,l,nms,botsort,72.7,24.5556,30.856,19.6554,61.0,207.8,21.785990098703532,0.08993990216851273,45.901058224547214,0.1887427443697961,5
MOT20,MOT20-02,rtdetr,l,nms,bytetrack,72.7,27.948400000000003,36.6918,26.937,247.0,433.0,43.721563410504224,0.16822392926682864,22.872009187113086,0.08806231260799796,5
MOT20,MOT20-02,rtdetr,x,nms,botsort,72.7,26.4908,33.4292,22.2042,82.8,256.0,18.774436353796325,1.8415209653774398,53.263915952278,5.385910909736413,5
MOT20,MOT20-02,rtdetr,x,nms,bytetrack,72.7,29.201800000000002,38.3836,28.3226,261.2,501.8,35.40167935059453,1.1084169821693555,28.247247541470266,0.8970034764274379,5
MOT20,MOT20-02,yolo11,l,nms,botsort,72.7,19.916000000000004,22.842599999999997,14.140200000000002,28.0,116.0,23.489605700913987,3.190276802206177,42.57202154572947,6.035293993476022,5
MOT20,MOT20-02,yolo11,l,nms,bytetrack,72.7,21.854000000000003,26.793599999999998,17.3348,86.2,204.4,63.39210227862856,3.5306592719784238,15.774835729609979,0.9203396278646707,5
MOT20,MOT20-02,yolo11,m,nms,botsort,72.7,22.3618,27.086400000000005,17.713600000000003,61.4,178.4,24.07960723246985,3.328617204708809,41.528916578488136,5.968610941494421,5
MOT20,MOT20-02,yolo11,m,nms,bytetrack,72.7,24.100600000000004,30.6856,20.9852,139.4,309.4,74.20801779706798,2.3583296437187995,13.475632818203518,0.4301411360873085,5
MOT20,MOT20-02,yolo11,n,nms,botsort,72.7,21.3962,26.425599999999996,17.1864,85.6,278.4,23.84249743832198,1.363958236409172,41.94191496033057,2.422087774366141,5
MOT20,MOT20-02,yolo11,n,nms,bytetrack,72.7,23.3952,30.245799999999996,21.113599999999998,199.4,532.4,67.12704180689155,7.979118394269825,14.897126002911923,1.647767147741403,5
MOT20,MOT20-02,yolo11,s,nms,botsort,72.7,23.4834,29.4646,20.156,97.0,316.2,25.147874168835283,3.1749019535784453,39.76479257396868,5.342253598339816,5
MOT20,MOT20-02,yolo11,s,nms,bytetrack,72.7,25.076,32.4984,22.8784,202.6,484.8,71.1534566286374,6.806381077517634,14.054130992105957,1.3774999255216267,5
MOT20,MOT20-02,yolo11,x,nms,botsort,72.7,20.986600000000003,23.944799999999997,14.9292,33.0,108.6,23.41299689829067,2.3953745504848687,42.7113198854525,4.498081915475278,5
MOT20,MOT20-02,yolo11,x,nms,bytetrack,72.7,23.491600000000002,28.771800000000002,18.610400000000002,104.0,223.0,59.040969734000804,1.9149941684119611,16.937391179469653,0.5730760392861569,5
MOT20,MOT20-02,yolo26,l,end2end,botsort,72.7,19.913400000000003,24.006199999999996,14.380600000000001,48.0,363.6,23.831416826067514,3.0886435799283443,41.96141619688218,5.6796677686694945,5
MOT20,MOT20-02,yolo26,l,end2end,bytetrack,72.7,21.677599999999998,27.223399999999998,17.069200000000002,109.0,590.4,64.59134831666181,1.5818428039702965,15.481949611849839,0.3780472022279927,5
MOT20,MOT20-02,yolo26,l,nms,botsort,72.7,21.000999999999998,25.6214,15.834999999999999,35.0,132.2,23.411888121760523,3.407712520163484,42.71334267442254,6.609082212025095,5
MOT20,MOT20-02,yolo26,l,nms,bytetrack,72.7,22.9414,29.305200000000003,19.017999999999997,100.0,213.0,65.82626998121002,1.6397191971151817,15.191503335757108,0.3775189141982035,5
MOT20,MOT20-02,yolo26,m,end2end,botsort,72.7,19.446000000000005,22.688200000000002,14.265600000000001,37.4,150.4,24.361997496795446,3.5339508862504148,41.047537260913806,6.200700064119051,5
MOT20,MOT20-02,yolo26,m,end2end,bytetrack,72.7,21.829999999999995,27.1324,17.377000000000002,101.4,298.4,76.94920620532687,3.1784090822621223,12.99558565076886,0.5248789490451538,5
MOT20,MOT20-02,yolo26,m,nms,botsort,72.7,20.0818,23.717599999999997,15.1334,48.0,118.4,24.260625143272588,3.3524125543535144,41.219053264062225,5.898228621402293,5
MOT20,MOT20-02,yolo26,m,nms,bytetrack,72.7,22.592200000000002,28.3786,18.8156,101.6,217.8,74.00732355678475,1.0292268939441904,13.512176254188066,0.18717945943059527,5
MOT20,MOT20-02,yolo26,n,end2end,botsort,72.7,17.981,21.418200000000002,13.5942,65.8,339.0,27.239686839188938,2.8445434548718818,36.711141574554716,3.956237425250486,5
MOT20,MOT20-02,yolo26,n,end2end,bytetrack,72.7,18.9052,23.2686,15.173000000000002,159.0,532.2,75.42461652872908,4.654081841823203,13.258270920331455,0.8647142647837353,5
MOT20,MOT20-02,yolo26,n,nms,botsort,72.7,17.243599999999997,19.730200000000004,12.2784,48.0,162.0,26.501769332678297,3.4811723046749607,37.73332970515818,5.1798193282002325,5
MOT20,MOT20-02,yolo26,n,nms,bytetrack,72.7,19.5004,24.4044,15.6804,145.4,338.0,77.03684559989765,2.8578786607951083,12.980801488078177,0.49180417337832244,5
MOT20,MOT20-02,yolo26,s,end2end,botsort,72.7,20.3874,23.794,15.1808,53.2,195.8,26.161053513859013,2.466948691677584,38.22476030906945,3.7055418694247844,5
MOT20,MOT20-02,yolo26,s,end2end,bytetrack,72.7,22.0536,27.457,18.072000000000003,120.8,364.8,79.17640424119358,1.7698937475483478,12.630025442349199,0.28005631719215696,5
MOT20,MOT20-02,yolo26,s,nms,botsort,72.7,20.4638,24.1286,15.149000000000001,54.0,142.8,26.754834258982374,2.142956409999586,37.376422904368056,3.3243994850391183,5
MOT20,MOT20-02,yolo26,s,nms,bytetrack,72.7,22.344,28.0536,18.1292,130.0,279.4,74.41022582151626,1.37592759869004,13.439013105519198,0.24899472172729395,5
MOT20,MOT20-02,yolo26,x,end2end,botsort,72.7,19.7454,22.4118,13.625399999999999,39.8,331.6,25.810061700607324,0.16417506612941277,38.74457998589246,0.24540479383415967,5
MOT20,MOT20-02,yolo26,x,end2end,bytetrack,72.7,22.092399999999998,26.8452,16.943399999999997,91.2,618.4,66.20137976305851,1.5732308842166327,15.105425348823573,0.35915728539009817,5
MOT20,MOT20-02,yolo26,x,nms,botsort,72.7,21.341,24.491,15.393600000000001,35.0,110.8,25.239049122578308,0.6059581581645012,39.621144011539705,0.9789081531429009,5
MOT20,MOT20-02,yolo26,x,nms,bytetrack,72.7,23.6444,29.480399999999996,19.330000000000002,92.0,215.4,60.764172974463804,5.453625599659983,16.457065916461183,1.5783106705125425,5
MOT20,MOT20-03,rtdetr,l,nms,botsort,148.3,7.647999999999999,4.6177,1.7207000000000001,1.0,14.0,27.21864656226255,2.8669834850603935,36.73951964189343,3.991791807976523,5
MOT20,MOT20-03,rtdetr,l,nms,bytetrack,148.3,14.311599999999999,16.9996,8.62316,34.0,162.6,46.522382249348816,2.926036949406704,21.495029954404306,1.3786096883887407,5
MOT20,MOT20-03,rtdetr,x,nms,botsort,148.3,9.462280000000002,7.286680000000001,3.2284400000000004,1.0,30.0,24.820662498407795,1.4790548402835526,40.28901323903616,2.453808543905891,5
MOT20,MOT20-03,rtdetr,x,nms,bytetrack,148.3,15.627199999999998,19.929399999999998,10.5692,36.8,199.6,38.17793647250648,1.5688345171637508,26.193139084930415,1.090763468370808,5
MOT20,MOT20-03,yolo11,l,nms,botsort,148.3,4.58428,2.9843,1.13036,1.0,6.2,36.835659292380456,3.127185374022376,27.14760694419965,2.380216402691461,5
MOT20,MOT20-03,yolo11,l,nms,bytetrack,148.3,6.121359999999999,5.64506,2.4464200000000003,11.0,40.6,81.25511984303031,5.345264924807549,12.306916806372483,0.7845142855981366,5
MOT20,MOT20-03,yolo11,m,nms,botsort,148.3,4.1979,2.4830200000000002,1.01914,0.0,10.0,41.87857785688008,1.817555445484775,23.878556798597536,1.087348863371714,5
MOT20,MOT20-03,yolo11,m,nms,bytetrack,148.3,6.110760000000001,5.5545,2.5520199999999997,12.0,44.8,99.02960776260329,3.128972619839182,10.097990112181698,0.3155110508868141,5
MOT20,MOT20-03,yolo11,n,nms,botsort,148.3,9.42078,10.268799999999999,5.1082399999999994,17.0,124.0,36.893301858285604,3.368166473176667,27.10519117646872,2.5706353249291616,5
MOT20,MOT20-03,yolo11,n,nms,bytetrack,148.3,11.9,15.393600000000001,8.86768,144.0,459.2,92.34128082357542,10.637051497596373,10.829392781659278,1.2210098463482804,5
MOT20,MOT20-03,yolo11,s,nms,botsort,148.3,5.5853,4.60998,1.98842,3.0,34.0,39.44340082460985,3.9794408921653246,25.35278345918062,2.6360057684080394,5
MOT20,MOT20-03,yolo11,s,nms,bytetrack,148.3,7.2109,7.402880000000001,3.4948799999999998,42.0,160.0,99.12548095986273,7.25827347207065,10.088223434748466,0.7488849366224197,5
MOT20,MOT20-03,yolo11,x,nms,botsort,148.3,4.35186,2.4655,0.76676,0.0,4.0,35.67348702722015,2.881892057818313,28.03202275227438,2.3171189072442657,5
MOT20,MOT20-03,yolo11,x,nms,bytetrack,148.3,5.5907800000000005,4.6192,1.6974,8.0,22.0,70.76817571821755,4.467845707276382,14.130645446927556,0.9600769726430565,5
MOT20,MOT20-03,yolo26,l,end2end,botsort,148.3,3.84572,2.37616,0.942492,2.0,27.6,39.09874288689147,3.123440172475652,25.57626987887806,2.0967360828256147,5
MOT20,MOT20-03,yolo26,l,end2end,bytetrack,148.3,5.28772,4.543480000000001,2.0229799999999996,9.6,88.6,78.72272319413126,1.4763744921428903,12.702812598771347,0.23749157425342524,5
MOT20,MOT20-03,yolo26,l,nms,botsort,148.3,4.7301,3.00644,1.21508,1.0,2.0,38.01940961033124,3.1252912498278502,26.30235477744673,2.217680851574599,5
MOT20,MOT20-03,yolo26,l,nms,bytetrack,148.3,6.3127200000000006,5.816540000000001,2.6032599999999997,6.0,21.0,83.71194505518979,4.264936719806624,11.945726495074483,0.5944291522318503,5
MOT20,MOT20-03,yolo26,m,end2end,botsort,148.3,3.18186,1.6026200000000004,0.7174039999999999,1.0,14.0,50.10970487585853,1.2553550219524476,19.95621412014686,0.5131321701412482,5
MOT20,MOT20-03,yolo26,m,end2end,bytetrack,148.3,3.9684199999999996,2.48238,1.0233999999999999,5.6,41.2,98.59342002414729,2.6141512359845174,10.142664690555232,0.2717957466111853,5
MOT20,MOT20-03,yolo26,m,nms,botsort,148.3,3.9736000000000002,2.0346,0.76038,1.0,8.0,45.22948754194759,2.430039800330263,22.109470045897844,1.2084457486452513,5
MOT20,MOT20-03,yolo26,m,nms,bytetrack,148.3,5.28212,4.13196,1.73744,5.0,28.0,99.70751163936025,5.129096918373199,10.029334636461261,0.49075022631497517,5
MOT20,MOT20-03,yolo26,n,end2end,botsort,148.3,4.40936,3.2445800000000005,1.34606,3.0,43.4,41.47206944253693,4.197421797603662,24.112613945768608,2.5124250982488427,5
MOT20,MOT20-03,yolo26,n,end2end,bytetrack,148.3,5.330680000000001,5.07972,2.2858599999999996,33.0,169.2,106.59093066550432,8.341250197576866,9.381661214105778,0.7542655664356421,5
MOT20,MOT20-03,yolo26,n,nms,botsort,148.3,4.347319999999999,2.87018,1.0125600000000001,2.0,17.8,41.963967592566526,3.694478839720934,23.829967883616884,2.1546746053273576,5
MOT20,MOT20-03,yolo26,n,nms,bytetrack,148.3,6.311839999999999,6.431019999999999,2.93058,32.0,108.2,101.67924442658828,5.962462337775702,9.834848848842432,0.5690135184707723,5
MOT20,MOT20-03,yolo26,s,end2end,botsort,148.3,3.45292,1.8205399999999998,0.725248,0.0,16.6,47.179949281066236,2.712123402832312,21.195444574191384,1.2441670845615709,5
MOT20,MOT20-03,yolo26,s,end2end,bytetrack,148.3,4.4741,3.4589799999999995,1.5374199999999998,11.0,55.4,110.21094810933587,6.325080206588486,9.073508731709122,0.5089453219584116,5
MOT20,MOT20-03,yolo26,s,nms,botsort,148.3,3.33402,1.7243400000000002,0.608306,0.0,5.4,44.6569625998018,4.292706653938706,22.39292468145691,2.263672107574423,5
MOT20,MOT20-03,yolo26,s,nms,bytetrack,148.3,4.5339,3.50272,1.451,8.0,38.2,105.13238043987491,2.89463074140847,9.511817347005653,0.25940896943000696,5
MOT20,MOT20-03,yolo26,x,end2end,botsort,148.3,3.99524,2.26154,0.8046960000000001,0.0,38.0,37.602553616438954,2.2849426254864644,26.593938544716906,1.693387780901141,5
MOT20,MOT20-03,yolo26,x,end2end,bytetrack,148.3,6.13452,5.28356,2.3638,24.2,153.8,72.57661325633258,1.5777346135609918,13.778543185366207,0.3035405049492621,5
MOT20,MOT20-03,yolo26,x,nms,botsort,148.3,5.266420000000001,3.2297,1.1949,0.0,1.0,35.23196367888835,3.2968790351542174,28.383317180791106,2.7332112459323983,5
MOT20,MOT20-03,yolo26,x,nms,bytetrack,148.3,8.0173,7.99132,3.6151600000000004,20.0,37.0,70.78684501292307,0.7314603527255509,14.126918636046526,0.14738694376363923,5
MOT20,MOT20-05,rtdetr,l,nms,botsort,226.6,2.85226,1.0459,0.24693,2.0,8.0,22.52849227445348,2.1532728045403684,44.38823458833794,4.362136657864254,5
MOT20,MOT20-05,rtdetr,l,nms,bytetrack,226.6,8.29226,7.2783999999999995,3.9634,110.4,252.4,42.05907618681704,3.0991072175274264,23.776080947622887,1.792150611996611,5
MOT20,MOT20-05,rtdetr,x,nms,botsort,226.6,3.53476,1.4944,0.48751,4.0,9.0,21.028831187568837,1.9323873627618724,47.55376041019096,4.489144864101826,5
MOT20,MOT20-05,rtdetr,x,nms,bytetrack,226.6,8.10576,7.57634,4.06702,117.8,202.0,36.12932281701363,1.0661040160416797,27.6783488321871,0.8390600177512177,5
MOT20,MOT20-05,yolo11,l,nms,botsort,226.6,1.20792,0.22127,0.09283,0.0,0.0,34.632126718408855,1.5142679686277714,28.874923221750795,1.280145445519437,5
MOT20,MOT20-05,yolo11,l,nms,bytetrack,226.6,2.24728,0.9711360000000001,0.40201400000000004,12.0,30.0,65.98675525121685,3.7540798622268947,15.154556337751723,0.8646197198470051,5
MOT20,MOT20-05,yolo11,m,nms,botsort,226.6,2.3928599999999998,0.8378620000000001,0.356902,7.0,14.0,30.28580780958054,4.3007038035532,33.018765960855845,4.884737865175161,5
MOT20,MOT20-05,yolo11,m,nms,bytetrack,226.6,3.52136,1.9733400000000003,0.963078,52.4,99.2,80.55985967639769,4.348421614050846,12.413129864139751,0.6847409826124264,5
MOT20,MOT20-05,yolo11,n,nms,botsort,226.6,1.4464600000000003,0.3853540000000001,0.12764,1.0,3.0,35.57843777141461,2.484178472962233,28.10691145082955,2.006125159460752,5
MOT20,MOT20-05,yolo11,n,nms,bytetrack,226.6,2.5117599999999998,1.5187199999999998,0.648262,46.0,106.6,85.4677206528608,4.903857585704019,11.70032372878693,0.6967010771519913,5
MOT20,MOT20-05,yolo11,s,nms,botsort,226.6,3.5715600000000003,2.2564200000000003,1.1262400000000001,34.0,100.4,29.58618047133201,2.7018064728330478,33.799563987955985,3.170358365616314,5
MOT20,MOT20-05,yolo11,s,nms,bytetrack,226.6,4.80914,3.90974,2.1473199999999997,148.4,348.8,83.73643268913206,3.4447952199835745,11.94223312225943,0.5039712445393085,5
MOT20,MOT20-05,yolo11,x,nms,botsort,226.6,1.7503999999999997,0.53581,0.12052,1.0,4.0,31.41243571307739,2.0770899996207652,31.834525954435538,2.1483232904846576,5
MOT20,MOT20-05,yolo11,x,nms,bytetrack,226.6,2.91428,1.52694,0.6525040000000001,34.2,55.2,64.11429488329502,1.3088713260192446,15.597145719535163,0.31254591068513715,5
MOT20,MOT20-05,yolo26,l,end2end,botsort,226.6,1.8707,0.6300779999999999,0.288452,5.0,34.0,31.507441345144162,2.2686363359389823,31.738534051230317,2.3376043407210054,5
MOT20,MOT20-05,yolo26,l,end2end,bytetrack,226.6,2.98114,1.82018,0.875538,38.4,172.8,69.29410616546346,0.850744951229221,14.43124177995971,0.17634677404174326,5
MOT20,MOT20-05,yolo26,l,nms,botsort,226.6,2.2726800000000003,0.835506,0.393722,2.0,3.0,31.19632709005275,2.116684932833364,32.05505561963606,2.217835409335378,5
MOT20,MOT20-05,yolo26,l,nms,bytetrack,226.6,3.7634999999999996,2.45996,1.22824,31.8,59.0,69.07343636883341,2.3036314452102276,14.477345453906063,0.47828285909201945,5
