family,scale,mode,tracker,dataset,fps_mean,fps_std,lat_mean,lat_std
yolo26,l,end2end,bytetrack,SOMPT22,57.266503060807274,3.3253237754322313,17.462215196520212,1.0485903731606747
yolo26,l,nms,botsort,MOT17,30.480937012074968,0.3651613284685123,32.80739038973283,0.4023408442005214
yolo26,l,nms,botsort,MOT20,29.682177176196227,2.8832295676082325,33.69025102383511,3.6815328243116916
yolo26,l,nms,botsort,SOMPT22,25.677450457832453,1.139244255117814,38.94467644450143,1.6346754084402766
yolo26,l,nms,bytetrack,MOT17,74.7995602255564,2.615223053861787,13.369062558449839,0.5383802560611974
yolo26,l,nms,bytetrack,MOT20,72.09012658361226,2.736095787377345,13.871525094912553,0.48341030850735794
yolo26,l,nms,bytetrack,SOMPT22,58.74316721022661,2.0092043720752417,17.023256448213942,0.6219318731037226
yolo26,m,end2end,botsort,MOT17,31.17816410189576,2.448587016850569,32.07372944512778,2.9513544048017315
yolo26,m,end2end,botsort,MOT20,35.3559363202933,1.778920759266083,28.28379344676069,2.341607563682791
yolo26,m,end2end,botsort,SOMPT22,25.502233742133864,1.8604636793131146,39.21225137027257,2.823195552840641
yolo26,m,end2end,bytetrack,MOT17,89.01495265261646,8.932898797632816,11.234067650437677,1.0303000858102775
yolo26,m,end2end,bytetrack,MOT20,86.64907277338254,3.1205529579404057,11.540804396318789,0.4287064695824198
yolo26,m,end2end,bytetrack,SOMPT22,67.49242530747244,1.1578540869211038,14.81647748535249,0.2815564891691235
yolo26,m,nms,botsort,MOT17,30.91027283722718,1.645881241443985,32.35170408446338,2.0378300577802198
yolo26,m,nms,botsort,MOT20,34.042768353194816,2.3924799248269863,29.374814340154945,2.6582896846070643
yolo26,m,nms,botsort,SOMPT22,25.485941785336067,1.4286566648719328,39.23731790737172,2.0959498671920627
yolo26,m,nms,bytetrack,MOT17,89.06582721844059,4.623890560356863,11.227650730143957,0.526587050747512
yolo26,m,nms,bytetrack,MOT20,85.34644466212896,2.7198022245033884,11.716949709607917,0.31577331723359386
